,project,average_delay_in_release
0,accumulo,86 days 00:00:00
1,activemq,16 days 21:25:42.857142857
2,airavata,
3,airflow,1 days 20:32:52.602739726
4,allura,
5,ambari,
6,ant,59 days 03:00:00
7,any23,0 days 00:00:00
8,apisix,22 days 04:48:00
9,apr,0 days 00:00:00
10,archiva,0 days 00:00:00
11,aries,9 days 04:00:00
12,arrow,11 days 00:00:00
13,asterixdb,25 days 00:00:00
14,atlas,101 days 18:00:00
15,avro,0 days 00:00:00
16,axis,24 days 10:30:00
17,bahir,0 days 00:00:00
18,beam,40 days 00:00:00
19,bigtop,234 days 00:00:00
20,bloodhound,
21,bookkeeper,68 days 12:00:00
22,brooklyn,0 days 00:00:00
23,buildr,
24,bval,22 days 09:36:00
25,calcite,94 days 14:24:00
26,camel,4 days 20:55:23.076923076
27,carbondata,33 days 04:00:00
28,cassandra,3 days 08:34:17.142857142
29,cayenne,63 days 06:00:00
30,celix,
31,chemistry,0 days 00:00:00
32,clerezza,6 days 12:42:21.176470588
33,cloudstack,149 days 00:00:00
34,cocoon,0 days 18:24:00
35,commons,7 days 09:36:00
36,cordova,11 days 00:32:43.636363636
37,couchdb,163 days 16:00:00
38,creadur,jackrabbit
39,ctakes,100 days 00:00:00
40,curator,127 days 00:00:00
41,cxf,76 days 08:00:00
42,daffodil,0 days 00:00:00
43,datafu,231 days 00:00:00
44,datasketches,142 days 19:12:00
45,db,11 days 03:25:42.857142857
46,deltaspike,0 days 00:00:00
47,directory,21 days 01:20:00
48,dolphinscheduler,51 days 00:00:00
49,drill,278 days 00:00:00
50,druid,87 days 00:00:00
51,dubbo,21 days 17:27:16.363636363
52,echarts,56 days 07:03:31.764705882
53,empire-db,
54,felix,4 days 22:19:12
55,fineract,161 days 12:00:00
56,flex,0 days 00:00:00
57,flink,23 days 15:00:00
58,flume,0 days 00:00:00
59,fluo,0 days 00:00:00
60,freemarker,0 days 00:00:00
61,geode,8 days 06:32:43.636363636
62,geronimo,17 days 23:06:40
63,giraph,12 days 08:00:00
64,gobblin,298 days 00:00:00
65,gora,0 days 00:00:00
66,griffin,
67,groovy,39 days 13:42:51.428571428
68,guacamole,25 days 13:42:51.428571428
69,hadoop,21 days 16:30:00
70,hawq,136 days 00:00:00
71,hbase,53 days 10:40:00
72,helix,164 days 12:00:00
73,hive,79 days 04:48:00
74,httpcomponents,19 days 10:33:36
75,httpd,57 days 06:00:00
76,hudi,59 days 17:08:34.285714285
77,iceberg,220 days 00:00:00
78,ignite,20 days 21:20:00
79,impala,374 days 00:00:00
80,incubator-age,80 days 12:00:00
81,incubator-annotator,420 days 00:00:00
