Repo Name,Release Count,Commit Count,PR Count,Average Latency,Average Comments,Contributors
maven-resources,0,175,0,0,0,0
tapestry4,0,49576,19,7828.0,0.631578947368421,31
maven-wagon,13,14382,1034,237.5725338491296,0.3529980657640232,88
xmlgraphics-fop,26,166045,299,1383.6555183946489,0.5484949832775919,628
maven-scm,32,42012,500,939.126,1.516,152
maven-plugins,14,33699,701,434.5934379457917,2.0998573466476462,105
maven-release,1,1544,141,1064.645390070922,1.50354609929078,65
pluto,12,75561,229,2463.829694323144,0.6375545851528385,159
commons-collections,0,135823,257,656.6575875486382,1.8715953307392996,81
poi,0,21087,263,158.70722433460077,2.8136882129277567,17
commons-codec,40,137634,398,528.7763819095477,1.585427135678392,485
maven-shared,4,70259,208,2123.956730769231,1.2067307692307692,1246
commons-lang,1,158067,1722,85.4006968641115,1.956445993031359,539
maven-doxia-sitetools,59,146457,975,1222.9179487179488,0.8020512820512821,921
maven-jxr,3,3302,178,85.25280898876404,0.9269662921348315,37
maven-doxia,0,4087,81,862.4320987654321,1.5679012345679013,40
servicemix4-legal,0,436892,315,1055.4666666666667,0.9333333333333333,623
servicemix-utils,0,19690,137,779.4890510948906,0.25547445255474455,131
geronimo-genesis,0,21161,16,19608.375,1.375,33
geronimo,0,13740,1,48.0,1.0,16
aries,54,28724,400,369.34,0.98,137
mina-sshd,1,6973,230,1285.6739130434783,1.5043478260869565,110
hama,0,12257,70,2757.1285714285714,0.2714285714285714,44
myfaces-extval,1,60598,41,4338.829268292683,0.17073170731707318,8
bookkeeper,59,10686,224,1606.1919642857142,2.21875,542
empire-db,45,11010,139,2234.863309352518,0.22302158273381295,28
rampart,1,295557,126,1522.142857142857,0.3333333333333333,256
accumulo,0,15814,205,860.6682926829268,3.8390243902439023,167
opennlp,0,4551,131,1254.9541984732825,0.9236641221374046,44
chemistry-cmislib,38,6501,164,1211.8353658536585,0.8719512195121951,26
jackrabbit-oak,10,154445,447,1232.076062639821,1.1789709172259508,225
james-jsieve,0,13695,58,2089.5689655172414,1.3448275862068966,16
tez,3,22579,213,1031.4835680751173,2.483568075117371,89
royale-asjs,15,47833,205,861.5219512195122,2.2439024390243905,85
deltaspike,0,21127,203,800.6995073891626,1.7192118226600985,168
