Repo Name,Is Source?
apache/maven-resources,True
fFee-ops/zkSourceCode,False
apache/tapestry4,True
codepreplabs/tapestry4Tutorial,False
DSI-Ville-Noumea/gasel,False
srgsoroka/tap,False
prihako/sims2019,False
amplafi/amplafi-tapestry4-springsecurity,False
amplafi/amplafi-flow-tapestry4,False
sawbona/j44p-school,False
apache/tapestry4,False
jcai/corner2,False
abiandono/JasindoInsuranceAcademyCore,False
sinisukahendri/minimarket,False
arnaudol/agile,False
hyperic/hq,False
Dibran/minimarket,False
PaulWoooong/corner,False
sergeytoropov/dvfu-tapestry4,False
qoswork/hqzh,False
cah-rfelsburg/hyperic,False
praveenreddy29/maven4,False
amplafi/amplafi-tapestry4-utils,False
Dibran/shop-dashboard,False
apache/maven-wagon,True
DeMmAge/QuickNoteCLI,False
lkapiec/experyment,False
FIWARE/load-tests,False
MaridProject/marid_old,False
AishwaryaPedemane/master,False
ishitachausalkar/projects,False
lillianJi/WebAndAPIDemo,False
pushpendrad/mvnrepocheck,False
zzz150/LibraryManagementSystem,False
bhavyaharidas/plant-growth,False
saisivayenduri/springboot-petclinic,False
idega/com.idega.manager,False
Efficeon/JavaStudent,False
spring-projects/sts4,False
jfpoilpret/guts,False
ioootech/coco,False
tarent/pkg-maven-plugin,False
jfpoilpret/designgridlayout,False
redapt/demo-web-java,False
pantera160/WorkflowTemplate,False
breezy123/TP-Assignment05,False
VeraTsvetkova/Test3,False
Angorance/HEIGVD_MoneyThoring,False
taysan003/MyJavaProjects,False
Clauudia/Proyecto2-HOC,False
apache/xmlgraphics-fop,True
QAXH/openpdf,False
kellysautter/Zeidon-Base,False
EMREXEU/fi-ncp,False
nhyunk/tutorials,False
CBIIT/caaers,False
marmikreal/OpenPPM,False
z-X-www/assignment1,False
z-X-www/assn1,False
EFTlab/mkdocbook,False
kyriosdata/seguranca,False
projectlean/hop-lean-plugins,False
grievnic/FileYourNal,False
asturio/flyingsaucer,False
astrowq/baryonics-dspace,False
intranda/goobi-plugin-workflow-barcode-generator,False
devenparab/html2pdf-apacheFOP,False
bernhardedler/tbg_designer,False
improvdev/tutorials,False
mnzit/groovyy,False
rohankumardubey/syncope,False
smile-sam/ms,False
acogoluegnes/spring-batch,False
jaimepsayago/tutorials,False
aliz-ai/jbpm-designer,False
LibrePDF/flyingsaucer,False
kristijonasbutkus/Car-rental,False
Jornwer/cw5sem-server,False
adityaincreff/pos,False
adityaincreff/toyiris,False
djordjeognjenovic97/XML-projekat,False
chav1961/purelib.navigator,False
tdltdl/saiku,False
markusweigelt/kitodo-production,False
utfpr-gp/crud-mvc-spring,False
Bruno-Casas/siga,False
sushant672/POS,False
stserakhau/mygarden,False
ChernikovVictor/PresentationDownloader,False
daknya/ec,False
RohiTech/unicenta45src,False
zizare/tutorials,False
jdelker/maven-pdf-plugin,False
slmyyl/xpert-framework,False
icsm-au/metadata-working-group,False
yogi1817/tutorials,False
mimranfaruqi/docx4j,False
noisycatz/pdf_formatter,False
shubhamIncreff/toyIRIS,False
antoshisha/PDFConverterApp,False
abyot/eotcnor,False
zeus0219/Maven-project,False
ashtonbatty/docx4j,False
ashtonbatty/docx4j-export-FO,False
aht-group/jeesl,False
aht-group/ofx,False
asseco-see/tutorials,False
ChristopherGonzalez97/SenorDisco,False
cweiland/tutorials,False
shubhamIncreff/pos,False
apache/maven-scm,True
YouJinhua1/mybatis-3.5.7,False
LaudateCorpus1/zxing,False
LaudateCorpus1/openmrs-fhir-analytics,False
MohankumarMarimuthu/DIGITALAPPLICATION-WebApp,False
DimitrisLarisis/cypher-dsl,False
georchestra/mapstore2-georchestra,False
hfriedri/hfriedri-demo,False
borysmarceloherrera/xades-certificate,False
fFee-ops/zkSourceCode,False
ryanwake/oshi,False
HEMAKUMR/webapp,False
GoogleCloudPlatform/openmrs-fhir-analytics,False
rhc-na-sm3scale-team/springboot,False
zousan906/mybatis-cn,False
niuyongjie/zxing,False
ENNRIaaa/upyun-sdk-spring-boot-starter,False
gsingh04/aws-big-data-blog,False
shuxuecode/study_mybatis,False
hgyx/mybatis-root,False
vogellacompany/egit-privacy,False
ressec/avocado,False
goby-ao/Zeppelin_yao,False
rohankumardubey/usergrid,False
ressec/cherry,False
GorbovMikhail/scala-js-vue,False
zmqking639/myNewCat,False
fancyChuan/read-the-source,False
pavipr/TestMavenPlugin,False
wiqer/Netty-single,False
apache/asterixdb-clients,False
maheshbabu22neeli/svc-belong-customer,False
v3nd3774/testing-framework-for-dynamic-graph-program-analysis,False
z596593851/mybatis-source,False
arctic-cheetah/Bisection-Method,False
Nervousync/Cache-JDK8,False
zmqking639/Mycat-Server.,False
KimJintak/qrcode,False
maverick3609/modbus4j,False
kalpak44/vaquarkhan,False
stefanxfy/ZooKeeperLearning,False
doro-watcha/Ditto,False
jhanley634/zxing,False
xsammak/demos,False
Akankshaanshu/mavenproject1,False
hixio-mh/zxing,False
gillbates/JavaRTMP,False
kgress/scaffold,False
SummerBootFramework/core,False
bestwxc/df4j-parent,False
MaiSR9527/mybatis-source,False
deegree/deegree-ogcapi,False
YaunXL/zookeeper-orign,False
bobo667/mybatis-plus-join,False
skreddy2107/webapps,False
dorian-burihabwa-sonarsource/AutoscanForJava-zxing,False
samarthya/release-demo,False
UdayPalnati/webdevops,False
Bot919/xgffffffh,False
mihael998/context-mapper-dsl,False
apache/maven-plugins,True
joel92MM/Git,False
qwertyuio0980/css_projeto2,False
wangxukun/jaxws,False
jacksparrow414/javaee-examples,False
zhengchang907/EJB-Example,False
manueltov/css2021_projeto2_045,False
benmouh/formation-javaee,False
divyamende39/axis,False
vineelakethipally/Loan_Paytm,False
jangminjun/jboss-eap73-quickstart,False
Lozitsky/JAX-WS,False
CarlotaFFilipe/css,False
Haribabu238/Maven-Proj,False
paullewallencom/eclipse-978-1-7852-8534-9,False
slachiewicz/maven-acr-plugin,False
BFreitas16/AulasGes,False
linyinfeng/learn-java-ee,False
yuanyeguishu/eclipselink-example,False
psehgaft/JEE-tiers,False
genesiscastillo/Recyclothes,False
xelander/Web-Programming,False
Nicolau643/SoftwareSystems,False
Nicolau643/DesignSoftware,False
diamondq/common-maven,False
lindong4067/jboss-demo,False
mz1999/ejbclientdemo,False
yonsx/yonsx,False
apache/maven-plugins,False
DrumzPT/EspacoGes,False
HiroNakamura/CursoJdbi,False
s4u/pgp-keys-map,False
sgparry/MinEJB,False
akdbreadinggroup/javaee7,False
DerSalvador/jboss-wildfly-anyconnect,False
diamondq/maven-profile-activator,False
JayanthSureshjfrog/testproject,False
lampham82x/JAVAEE-Tutorial,False
eclipse-ee4j/jakartaee-examples,False
AadityaSeshadri/Sample_QA_Challenge,False
dpereira97/Software-Design,False
sanogotech/formationjava,False
ee-eng-cs/Study04,False
ee-eng-cs/Study03,False
UCL/maven-archetypes,False
